"Step","stellar-cloud-1 - train/loss","stellar-cloud-1 - train/loss__MIN","stellar-cloud-1 - train/loss__MAX"
"168","1.9005","1.9005","1.9005"
"169","1.6456","1.6456","1.6456"
"170","1.7411","1.7411","1.7411"
"171","1.8391","1.8391","1.8391"
"172","1.536","1.536","1.536"
"173","1.3971","1.3971","1.3971"
"174","2.0171","2.0171","2.0171"
"175","2.3519","2.3519","2.3519"
"176","1.7731","1.7731","1.7731"
"177","1.5606","1.5606","1.5606"
"178","1.6259","1.6259","1.6259"
"179","2.1851","2.1851","2.1851"
"180","2.2211","2.2211","2.2211"
"181","1.6987","1.6987","1.6987"
"182","1.5523","1.5523","1.5523"
"183","1.7374","1.7374","1.7374"
"184","1.3795","1.3795","1.3795"
"185","1.5977","1.5977","1.5977"
"186","1.6959","1.6959","1.6959"
"187","1.6068","1.6068","1.6068"
"188","1.9451","1.9451","1.9451"
"189","1.4847","1.4847","1.4847"
"190","1.3517","1.3517","1.3517"
"191","1.4072","1.4072","1.4072"
"192","2.4435","2.4435","2.4435"
"193","1.7325","1.7325","1.7325"
"194","1.9191","1.9191","1.9191"
"195","1.409","1.409","1.409"
"196","1.683","1.683","1.683"
"197","1.5386","1.5386","1.5386"
"198","1.6797","1.6797","1.6797"
"199","2.1958","2.1958","2.1958"
"200","1.7487","1.7487","1.7487"
"201","1.5161","1.5161","1.5161"
"202","2.1003","2.1003","2.1003"
"203","1.8617","1.8617","1.8617"
"204","1.9076","1.9076","1.9076"
"205","2.2896","2.2896","2.2896"
"206","1.5368","1.5368","1.5368"
"207","2.0545","2.0545","2.0545"
"208","1.6217","1.6217","1.6217"
"209","2.2048","2.2048","2.2048"
"210","1.889","1.889","1.889"
"211","2.4343","2.4343","2.4343"
"212","1.5814","1.5814","1.5814"
"213","2.0024","2.0024","2.0024"
"214","1.5866","1.5866","1.5866"
"215","1.385","1.385","1.385"
"216","1.6634","1.6634","1.6634"
"217","1.6276","1.6276","1.6276"
"218","1.4954","1.4954","1.4954"
"219","1.8246","1.8246","1.8246"
"220","1.9992","1.9992","1.9992"
"221","1.8828","1.8828","1.8828"
"222","1.556","1.556","1.556"
"223","1.6611","1.6611","1.6611"
"224","2.1245","2.1245","2.1245"
"225","1.8494","1.8494","1.8494"
"226","1.97","1.97","1.97"
"227","1.6681","1.6681","1.6681"
"228","1.6961","1.6961","1.6961"
"229","1.6095","1.6095","1.6095"
"230","2.2339","2.2339","2.2339"
"231","1.6281","1.6281","1.6281"
"232","1.8423","1.8423","1.8423"
"233","1.6228","1.6228","1.6228"
"234","1.5816","1.5816","1.5816"
"235","1.5393","1.5393","1.5393"
"236","1.7877","1.7877","1.7877"
"237","1.5411","1.5411","1.5411"
"238","1.5832","1.5832","1.5832"
"239","2.109","2.109","2.109"
"240","1.3504","1.3504","1.3504"
"241","1.6914","1.6914","1.6914"
"242","1.5468","1.5468","1.5468"
"243","1.7997","1.7997","1.7997"
"244","1.9342","1.9342","1.9342"
"245","1.8959","1.8959","1.8959"
"246","1.7386","1.7386","1.7386"
"247","1.849","1.849","1.849"
"248","1.5194","1.5194","1.5194"
"249","1.9505","1.9505","1.9505"
"250","1.5564","1.5564","1.5564"
"251","1.593","1.593","1.593"
"252","2.113","2.113","2.113"
"253","1.7389","1.7389","1.7389"
"254","1.7715","1.7715","1.7715"
"255","1.7762","1.7762","1.7762"
"256","1.4995","1.4995","1.4995"
"257","1.5696","1.5696","1.5696"
"258","1.8359","1.8359","1.8359"
"259","1.5849","1.5849","1.5849"
"260","2.0321","2.0321","2.0321"
"261","1.9","1.9","1.9"
"262","1.8521","1.8521","1.8521"
"263","1.6149","1.6149","1.6149"
"264","1.6256","1.6256","1.6256"
"265","1.7576","1.7576","1.7576"
"266","1.4238","1.4238","1.4238"
"267","2.1302","2.1302","2.1302"
"268","1.8594","1.8594","1.8594"
"269","1.5542","1.5542","1.5542"
"270","1.5252","1.5252","1.5252"
"271","1.5184","1.5184","1.5184"
"272","1.4765","1.4765","1.4765"
"273","1.913","1.913","1.913"
"274","1.7118","1.7118","1.7118"
"275","1.535","1.535","1.535"
"276","1.7234","1.7234","1.7234"
"277","1.8785","1.8785","1.8785"
"278","2.021","2.021","2.021"
"279","1.5436","1.5436","1.5436"
"280","1.6701","1.6701","1.6701"
"281","2.3558","2.3558","2.3558"
"282","1.6635","1.6635","1.6635"
"283","1.5974","1.5974","1.5974"
"284","1.8351","1.8351","1.8351"
"285","1.5443","1.5443","1.5443"
"286","1.8355","1.8355","1.8355"
"287","1.5469","1.5469","1.5469"
"288","1.7202","1.7202","1.7202"
"289","1.6897","1.6897","1.6897"
"290","1.7552","1.7552","1.7552"
"291","1.7234","1.7234","1.7234"
"292","1.5569","1.5569","1.5569"
"293","1.8191","1.8191","1.8191"
"294","1.5414","1.5414","1.5414"
"295","1.5351","1.5351","1.5351"
"296","2.5986","2.5986","2.5986"
"297","2.3341","2.3341","2.3341"
"298","1.5738","1.5738","1.5738"
"299","1.4366","1.4366","1.4366"
"300","1.5466","1.5466","1.5466"
"301","2.493","2.493","2.493"
"302","1.5865","1.5865","1.5865"
"303","2.3162","2.3162","2.3162"
"304","2.0082","2.0082","2.0082"
"305","1.4731","1.4731","1.4731"
"306","1.2312","1.2312","1.2312"
"307","1.7799","1.7799","1.7799"
"308","1.9831","1.9831","1.9831"
"309","2.3313","2.3313","2.3313"
"310","1.5395","1.5395","1.5395"
"311","1.9049","1.9049","1.9049"
"312","1.7887","1.7887","1.7887"
"313","2.1157","2.1157","2.1157"
"314","1.3475","1.3475","1.3475"
"315","2.0701","2.0701","2.0701"
"316","1.9391","1.9391","1.9391"
"317","1.7472","1.7472","1.7472"
"318","1.8381","1.8381","1.8381"
"319","1.2641","1.2641","1.2641"
"320","1.6984","1.6984","1.6984"
"321","1.3824","1.3824","1.3824"
"322","1.4532","1.4532","1.4532"
