"Step","solar-firebrand-9 - train/loss","solar-firebrand-9 - train/loss__MIN","solar-firebrand-9 - train/loss__MAX"
"167","1.4688","1.4688","1.4688"
"168","1.8291","1.8291","1.8291"
"169","1.7358","1.7358","1.7358"
"170","1.4994","1.4994","1.4994"
"171","1.4666","1.4666","1.4666"
"172","1.7117","1.7117","1.7117"
"173","1.703","1.703","1.703"
"174","1.8056","1.8056","1.8056"
"175","1.5722","1.5722","1.5722"
"176","1.6807","1.6807","1.6807"
"177","1.3131","1.3131","1.3131"
"178","1.884","1.884","1.884"
"179","1.4572","1.4572","1.4572"
"180","1.5191","1.5191","1.5191"
"181","1.4495","1.4495","1.4495"
"182","1.6375","1.6375","1.6375"
"183","1.4487","1.4487","1.4487"
"184","1.518","1.518","1.518"
"185","1.9956","1.9956","1.9956"
"186","1.3993","1.3993","1.3993"
"187","1.7883","1.7883","1.7883"
"188","1.5889","1.5889","1.5889"
"189","1.6209","1.6209","1.6209"
"190","1.5523","1.5523","1.5523"
"191","1.665","1.665","1.665"
"192","1.5834","1.5834","1.5834"
"193","1.6088","1.6088","1.6088"
"194","1.5848","1.5848","1.5848"
"195","1.7282","1.7282","1.7282"
"196","1.4663","1.4663","1.4663"
"197","2.1746","2.1746","2.1746"
"198","1.8159","1.8159","1.8159"
"199","1.3004","1.3004","1.3004"
"200","1.6832","1.6832","1.6832"
"201","1.7495","1.7495","1.7495"
"202","2.2376","2.2376","2.2376"
"203","1.451","1.451","1.451"
"204","1.4267","1.4267","1.4267"
"205","1.6376","1.6376","1.6376"
"206","1.9493","1.9493","1.9493"
"207","1.7191","1.7191","1.7191"
"208","1.8107","1.8107","1.8107"
"209","1.4575","1.4575","1.4575"
"210","2.0092","2.0092","2.0092"
"211","1.5012","1.5012","1.5012"
"212","1.5252","1.5252","1.5252"
"213","1.5022","1.5022","1.5022"
"214","1.4008","1.4008","1.4008"
"215","1.4427","1.4427","1.4427"
"216","1.7443","1.7443","1.7443"
"217","1.4512","1.4512","1.4512"
"218","1.788","1.788","1.788"
"219","2.0944","2.0944","2.0944"
"220","1.5224","1.5224","1.5224"
"221","1.448","1.448","1.448"
"222","1.6887","1.6887","1.6887"
"223","1.7144","1.7144","1.7144"
"224","1.489","1.489","1.489"
"225","1.7791","1.7791","1.7791"
"226","1.464","1.464","1.464"
"227","1.6654","1.6654","1.6654"
"228","2.1134","2.1134","2.1134"
"229","1.3857","1.3857","1.3857"
"230","1.2411","1.2411","1.2411"
"231","2.1686","2.1686","2.1686"
"232","2.0594","2.0594","2.0594"
"233","1.5605","1.5605","1.5605"
"234","1.5084","1.5084","1.5084"
"235","1.3614","1.3614","1.3614"
"236","1.3622","1.3622","1.3622"
"237","1.476","1.476","1.476"
"238","1.205","1.205","1.205"
"239","1.6864","1.6864","1.6864"
"240","1.4046","1.4046","1.4046"
"241","1.5136","1.5136","1.5136"
"242","1.6002","1.6002","1.6002"
"243","1.6864","1.6864","1.6864"
"244","1.3193","1.3193","1.3193"
"245","1.5744","1.5744","1.5744"
"246","1.3218","1.3218","1.3218"
"247","1.5671","1.5671","1.5671"
"248","1.5941","1.5941","1.5941"
"249","1.4621","1.4621","1.4621"
"250","1.5872","1.5872","1.5872"
"251","2.0513","2.0513","2.0513"
"252","1.4529","1.4529","1.4529"
"253","1.6082","1.6082","1.6082"
"254","1.5608","1.5608","1.5608"
"255","1.2881","1.2881","1.2881"
"256","1.4154","1.4154","1.4154"
"257","1.4212","1.4212","1.4212"
"258","1.6609","1.6609","1.6609"
"259","1.3412","1.3412","1.3412"
"260","1.8216","1.8216","1.8216"
"261","1.1157","1.1157","1.1157"
"262","1.508","1.508","1.508"
"263","1.4159","1.4159","1.4159"
"264","1.357","1.357","1.357"
"265","2.0526","2.0526","2.0526"
"266","1.5993","1.5993","1.5993"
"267","1.4737","1.4737","1.4737"
"268","1.6012","1.6012","1.6012"
"269","1.6601","1.6601","1.6601"
"270","1.768","1.768","1.768"
"271","1.5901","1.5901","1.5901"
"272","1.3906","1.3906","1.3906"
"273","1.5036","1.5036","1.5036"
"274","1.6434","1.6434","1.6434"
"275","1.3196","1.3196","1.3196"
"276","1.2513","1.2513","1.2513"
"277","1.6845","1.6845","1.6845"
"278","1.7907","1.7907","1.7907"
"279","1.3717","1.3717","1.3717"
"280","1.4782","1.4782","1.4782"
"281","1.8589","1.8589","1.8589"
"282","1.4379","1.4379","1.4379"
"283","1.2371","1.2371","1.2371"
"284","1.9027","1.9027","1.9027"
"285","1.3793","1.3793","1.3793"
"286","1.4694","1.4694","1.4694"
"287","1.6631","1.6631","1.6631"
"288","1.6609","1.6609","1.6609"
"289","1.6798","1.6798","1.6798"
"290","1.5645","1.5645","1.5645"
"291","1.5337","1.5337","1.5337"
"292","1.4653","1.4653","1.4653"
"293","1.7456","1.7456","1.7456"
"294","1.4957","1.4957","1.4957"
"295","1.9585","1.9585","1.9585"
"296","1.7875","1.7875","1.7875"
"297","1.5507","1.5507","1.5507"
"298","1.3492","1.3492","1.3492"
"299","1.2166","1.2166","1.2166"
"300","2.2004","2.2004","2.2004"
"301","1.1367","1.1367","1.1367"
"302","1.6988","1.6988","1.6988"
"303","1.3597","1.3597","1.3597"
"304","1.8352","1.8352","1.8352"
"305","1.2994","1.2994","1.2994"
"306","1.5271","1.5271","1.5271"
"307","1.8892","1.8892","1.8892"
"308","1.2633","1.2633","1.2633"
"309","1.5616","1.5616","1.5616"
"310","2.027","2.027","2.027"
"311","1.4962","1.4962","1.4962"
"312","1.4739","1.4739","1.4739"
"313","1.4772","1.4772","1.4772"
"314","1.4003","1.4003","1.4003"
"315","1.5367","1.5367","1.5367"
"316","1.7851","1.7851","1.7851"
"317","1.5426","1.5426","1.5426"
"318","1.4932","1.4932","1.4932"
"319","1.4124","1.4124","1.4124"
"320","1.7788","1.7788","1.7788"
"321","1.5436","1.5436","1.5436"
"322","1.7067","1.7067","1.7067"
"323","2.0628","2.0628","2.0628"
"324","1.409","1.409","1.409"
"325","1.711","1.711","1.711"
"326","1.9786","1.9786","1.9786"
"327","1.6934","1.6934","1.6934"
"328","1.5132","1.5132","1.5132"
"329","1.9244","1.9244","1.9244"
"330","1.2909","1.2909","1.2909"
"331","1.4292","1.4292","1.4292"
"332","1.5455","1.5455","1.5455"
"333","1.4312","1.4312","1.4312"
"334","1.5611","1.5611","1.5611"
"335","1.5422","1.5422","1.5422"
"336","1.6437","1.6437","1.6437"
"337","1.4571","1.4571","1.4571"
"338","1.9263","1.9263","1.9263"
"339","1.6773","1.6773","1.6773"
"340","1.4441","1.4441","1.4441"
"341","1.4501","1.4501","1.4501"
"342","1.4793","1.4793","1.4793"
"343","1.8502","1.8502","1.8502"
"344","1.512","1.512","1.512"
"345","1.5201","1.5201","1.5201"
"346","1.6079","1.6079","1.6079"
"347","1.1655","1.1655","1.1655"
"348","1.5172","1.5172","1.5172"
"349","1.3847","1.3847","1.3847"
"350","1.7999","1.7999","1.7999"
"351","1.7904","1.7904","1.7904"
"352","1.3784","1.3784","1.3784"
"353","1.57","1.57","1.57"
"354","1.4225","1.4225","1.4225"
"355","1.7928","1.7928","1.7928"
"356","1.4827","1.4827","1.4827"
"357","1.8025","1.8025","1.8025"
"358","1.5059","1.5059","1.5059"
"359","1.5743","1.5743","1.5743"
"360","1.2243","1.2243","1.2243"
"361","1.5286","1.5286","1.5286"
"362","2.0046","2.0046","2.0046"
"363","1.3811","1.3811","1.3811"
"364","1.5864","1.5864","1.5864"
"365","2.1182","2.1182","2.1182"
"366","1.5569","1.5569","1.5569"
"367","1.4836","1.4836","1.4836"
"368","1.4731","1.4731","1.4731"
"369","1.4651","1.4651","1.4651"
"370","1.3713","1.3713","1.3713"
"371","1.49","1.49","1.49"
"372","1.5795","1.5795","1.5795"
"373","1.4687","1.4687","1.4687"
"374","1.8129","1.8129","1.8129"
"375","1.4715","1.4715","1.4715"
"376","1.5259","1.5259","1.5259"
"377","1.327","1.327","1.327"
"378","1.4846","1.4846","1.4846"
"379","1.5073","1.5073","1.5073"
"380","1.5236","1.5236","1.5236"
"381","1.3172","1.3172","1.3172"
"382","1.6569","1.6569","1.6569"
"383","1.7893","1.7893","1.7893"
"384","1.8037","1.8037","1.8037"
"385","1.2089","1.2089","1.2089"
"386","1.45","1.45","1.45"
"387","1.2431","1.2431","1.2431"
"388","1.673","1.673","1.673"
"389","1.6141","1.6141","1.6141"
"390","1.6985","1.6985","1.6985"
"391","1.355","1.355","1.355"
"392","1.6581","1.6581","1.6581"
"393","1.5015","1.5015","1.5015"
"394","1.4797","1.4797","1.4797"
"395","1.4912","1.4912","1.4912"
"396","1.4946","1.4946","1.4946"
"397","1.5914","1.5914","1.5914"
"398","1.5939","1.5939","1.5939"
"399","1.4234","1.4234","1.4234"
"400","1.2769","1.2769","1.2769"
"401","1.3214","1.3214","1.3214"
"402","1.4152","1.4152","1.4152"
"403","1.4741","1.4741","1.4741"
"404","1.06","1.06","1.06"
"405","1.6293","1.6293","1.6293"
"406","1.7103","1.7103","1.7103"
"407","1.4092","1.4092","1.4092"
"408","1.4963","1.4963","1.4963"
"409","1.992","1.992","1.992"
"410","1.6127","1.6127","1.6127"
"411","1.7201","1.7201","1.7201"
"412","1.5896","1.5896","1.5896"
"413","1.2896","1.2896","1.2896"
"414","1.3637","1.3637","1.3637"
"415","1.2719","1.2719","1.2719"
"416","1.5291","1.5291","1.5291"
"417","1.4298","1.4298","1.4298"
"418","1.5024","1.5024","1.5024"
"419","1.7492","1.7492","1.7492"
"420","1.4305","1.4305","1.4305"
"421","1.2753","1.2753","1.2753"
"422","1.5283","1.5283","1.5283"
"423","1.3129","1.3129","1.3129"
"424","1.258","1.258","1.258"
"425","1.7672","1.7672","1.7672"
"426","1.5006","1.5006","1.5006"
"427","1.7622","1.7622","1.7622"
"428","1.4358","1.4358","1.4358"
"429","1.6336","1.6336","1.6336"
"430","1.2333","1.2333","1.2333"
"431","1.6793","1.6793","1.6793"
"432","1.3494","1.3494","1.3494"
"433","1.4456","1.4456","1.4456"
"434","1.4338","1.4338","1.4338"
"435","1.7441","1.7441","1.7441"
"436","1.564","1.564","1.564"
"437","1.2002","1.2002","1.2002"
"438","1.5032","1.5032","1.5032"
"439","1.472","1.472","1.472"
"440","1.9508","1.9508","1.9508"
"441","1.4772","1.4772","1.4772"
"442","1.2857","1.2857","1.2857"
"443","1.3973","1.3973","1.3973"
"444","1.4204","1.4204","1.4204"
"445","1.6388","1.6388","1.6388"
"446","1.7084","1.7084","1.7084"
"447","1.6578","1.6578","1.6578"
"448","1.5826","1.5826","1.5826"
"449","2.0844","2.0844","2.0844"
"450","1.3976","1.3976","1.3976"
"451","1.4453","1.4453","1.4453"
"452","1.4731","1.4731","1.4731"
"453","1.4378","1.4378","1.4378"
"454","1.328","1.328","1.328"
"455","1.5151","1.5151","1.5151"
"456","1.3985","1.3985","1.3985"
"457","1.4759","1.4759","1.4759"
"458","1.3011","1.3011","1.3011"
"459","1.2912","1.2912","1.2912"
"460","1.7165","1.7165","1.7165"
"461","1.2372","1.2372","1.2372"
"462","1.7308","1.7308","1.7308"
"463","1.3061","1.3061","1.3061"
"464","1.2156","1.2156","1.2156"
"465","1.5133","1.5133","1.5133"
"466","1.2931","1.2931","1.2931"
