Wall time,Step,Value
1700188997.262539,172,6.715646266937256
1700189038.439666,244,6.151837348937988
1700189047.1487544,259,5.780860900878906
1700189129.5298855,402,5.67902135848999
1700189167.0803752,465,5.89155912399292
1700189192.9053535,510,5.393010139465332
1700189219.8669534,556,5.460235118865967
1700189280.9501407,658,5.533078193664551
1700189367.1565006,804,5.135611534118652
1700189500.2593367,1026,4.808959007263184
1700189506.8242147,1037,5.130947113037109
1700189562.2873847,1132,4.73991060256958
1700189593.5852723,1184,4.696392059326172
1700189645.6044095,1271,5.015658378601074
1700189732.0833185,1417,4.560697555541992
1700189756.8327813,1458,4.514054775238037
1700189778.9578273,1494,4.76145076751709
1700189788.3998437,1510,4.595132827758789
1700189811.275513,1548,4.736400127410889
1700189821.4133837,1565,4.434322357177734
1700190044.756542,1940,4.214804172515869
1700190056.9518461,1960,3.9082603454589844
1700190342.7206273,2436,3.466989040374756
1700190345.8689685,2441,4.180537223815918
1700190357.9816558,2462,3.7359609603881836
1700190382.724152,2503,4.039453983306885
1700190427.173487,2577,4.236537456512451
1700190491.0901523,2684,3.689178943634033
1700190496.5355053,2693,3.2255451679229736
1700190505.5338743,2708,3.914954423904419
1700190510.936361,2717,4.027032375335693
1700190541.6511137,2768,3.4908125400543213
1700190732.0121374,3083,3.6268668174743652
1700190744.8078117,3104,3.5435006618499756
1700190745.7606444,3105,3.255314350128174
1700190769.8915687,3145,3.474273681640625
1700190828.205316,3241,3.189667224884033
1700190842.8790154,3265,4.2539825439453125
1700190898.583975,3356,5.684388637542725
1700190984.4842458,3500,4.96785831451416
1700191024.3098168,3566,3.07600998878479
1700191044.449172,3600,3.106039524078369
1700191054.1609282,3616,3.318491220474243
1700191076.5978582,3654,3.5607755184173584
1700191085.0294464,3668,3.216845750808716
1700191087.013675,3671,2.9512863159179688
1700191191.9647033,3848,3.1535425186157227
1700191233.5299408,3915,3.824906349182129
1700191299.072281,4023,2.6548006534576416
1700191350.2939122,4109,3.3752617835998535
1700191357.4538026,4121,3.23370623588562
1700191392.9940665,4181,3.6226086616516113
1700191399.7975492,4192,2.7754790782928467
1700191420.7553554,4227,2.886197090148926
1700191474.519169,4318,2.877624273300171
1700191480.574795,4328,3.4831998348236084
1700191623.6313524,4564,2.7582080364227295
1700191782.486582,4832,2.821028709411621
1700191939.291664,5090,3.326441526412964
1700191966.8776884,5136,3.2507741451263428
1700191997.7068307,5187,2.5389318466186523
1700192005.7234988,5200,3.3941006660461426
1700192045.1428845,5262,2.2396347522735596
1700192064.9756284,5295,2.7100462913513184
1700192105.498322,5362,2.7747128009796143
1700192160.0430055,5454,3.5322036743164062
1700192288.075074,5667,2.452322006225586
1700192385.013528,5832,3.2122201919555664
1700192405.5842884,5866,3.18501615524292
1700192413.129608,5879,3.4155306816101074
1700192473.5497303,5981,3.05526065826416
1700192482.995921,5997,3.4361441135406494
1700192518.7829745,6053,3.594587564468384
1700192569.5540795,6138,2.8908321857452393
1700192622.9445314,6225,2.2808218002319336
1700192654.403178,6279,2.312175989151001
1700192687.477029,6334,2.653487205505371
1700192708.0121565,6369,2.151869773864746
1700192829.2848935,6569,2.2251181602478027
1700192926.8423254,6730,2.1110310554504395
1700192939.2154555,6750,2.1152899265289307
1700192999.50652,6850,3.984161615371704
1700193040.936856,6919,2.7280054092407227
1700193083.8011124,6991,2.1085522174835205
1700193086.766379,6996,2.0782158374786377
1700193122.3898263,7054,2.6477675437927246
1700193242.5340104,7253,2.823892116546631
1700193354.0022767,7436,1.0524107217788696
1700193370.433144,7464,2.3706459999084473
1700193418.7345293,7543,1.91559898853302
1700193480.3060513,7644,2.7249138355255127
1700193530.7742505,7727,3.110485553741455
1700193532.7663236,7730,3.0575997829437256
1700193548.4680352,7756,2.014622449874878
1700193570.8538167,7794,3.985962152481079
1700193685.810703,7986,2.8034987449645996
1700193768.330146,8122,2.901829719543457
1700193870.4250855,8291,2.251662015914917
1700194024.8777325,8548,2.4931106567382812
1700194028.3761997,8554,3.0305278301239014
1700194066.9436224,8618,2.1757171154022217
1700194091.646511,8659,2.1757328510284424
1700194112.5916939,8694,2.161858558654785
1700194131.1813993,8724,3.7359633445739746
1700194147.5456715,8752,2.342834234237671
1700194162.8219361,8776,2.513278007507324
1700194164.082033,8778,2.7517294883728027
1700194191.3802252,8823,2.1588034629821777
1700194197.2663972,8833,2.386707067489624
1700194224.1542916,8877,2.2111494541168213
1700194334.115538,9058,2.0870249271392822
1700194391.0093386,9152,1.9966577291488647
1700194452.428693,9252,2.3300013542175293
1700194476.1923172,9291,2.043323516845703
1700194498.3222175,9327,2.5118305683135986
1700194517.3356795,9359,2.3068759441375732
1700194631.1966429,9547,2.2031326293945312
1700194730.2478304,9712,2.742039442062378
1700194755.1217802,9753,2.4302914142608643
1700194755.6456988,9754,2.971158742904663
1700194806.6540985,9837,2.4623923301696777
1700194824.5395086,9867,2.314126491546631
1700194840.671276,9894,2.413938283920288
1700194854.418322,9917,2.6993372440338135
1700194873.6013002,9949,2.8228724002838135
1700194888.2256808,9973,2.990313768386841
1700194891.8049564,9979,2.062690496444702
1700194900.5555627,9993,2.2008588314056396
1700194943.941668,10063,2.3099122047424316
1700194960.9029958,10090,2.6881444454193115
1700194980.3028688,10121,2.990537643432617
1700195023.8220696,10191,2.3134372234344482
1700195117.4741583,10342,2.3149144649505615
1700195150.0861502,10395,1.7042757272720337
1700195180.132113,10445,1.9478325843811035
1700195187.8637476,10458,2.169212579727173
1700195213.5957363,10501,2.0936808586120605
1700195223.9941518,10518,2.275148868560791
1700195250.523732,10561,2.1854875087738037
1700195300.7513175,10643,3.0176093578338623
1700195302.1228693,10645,1.9127578735351562
1700195339.6601305,10707,2.1884095668792725
1700195349.5583115,10724,1.9930022954940796
1700195534.6361003,11023,4.75968599319458
1700195542.644805,11036,4.016631603240967
1700195553.1475286,11054,1.9303637742996216
1700195577.4974673,11094,2.2538843154907227
1700195591.8064742,11118,0.9996783137321472
1700195648.928056,11212,2.283583402633667
1700195652.2928824,11218,4.646847248077393
1700195720.7996278,11331,2.34684157371521
1700195759.846517,11394,2.953326463699341
1700195768.6283731,11409,3.148574113845825
1700196017.531213,11819,3.262584686279297
1700196046.6729784,11867,1.9135255813598633
1700196146.4164379,12027,2.6605710983276367
1700196176.5091276,12076,1.963947057723999
1700196321.4182055,12316,3.8012280464172363
1700196344.4201536,12354,1.8390649557113647
1700196370.6841352,12398,2.3838064670562744
1700196372.026187,12400,3.3736753463745117
1700196418.922174,12476,2.3570592403411865
1700196493.88241,12601,2.2413957118988037
1700196557.946374,12708,2.0926566123962402
1700196674.4676526,12901,1.6800309419631958
1700196676.9820704,12905,2.6883046627044678
1700196700.0610263,12944,1.833572268486023
1700196920.2994432,13304,2.27298903465271
1700196971.794599,13388,2.349637746810913
1700196990.027917,13418,1.767939567565918
1700197053.3697643,13522,3.0816667079925537
1700197071.1565304,13550,1.9141631126403809
1700197116.4676323,13623,2.5781710147857666
1700197128.3087585,13642,2.6882710456848145
1700197131.3472626,13647,2.10410475730896
1700197225.8113916,13802,2.113595485687256
1700197254.6973577,13849,2.9780831336975098
1700197328.586227,13971,3.111402988433838
1700197333.9280424,13980,2.0308899879455566
1700197351.1187913,14006,2.3317036628723145
1700197375.4900823,14046,2.900473117828369
1700197461.9982574,14188,2.020402669906616
1700197473.1519818,14206,1.5934158563613892
1700197508.6224384,14265,2.807694911956787
1700197562.1352463,14354,1.6166843175888062
1700197566.461668,14361,2.569436550140381
1700197671.9198992,14535,3.045368194580078
1700197725.9408553,14623,2.2775256633758545
1700197739.2177753,14645,3.58268666267395
1700197797.7628014,14745,1.9747450351715088
1700197861.5050938,14851,2.5769619941711426
1700197869.19806,14864,1.7305949926376343
1700197963.3191845,15019,2.427062511444092
1700197991.1197827,15065,2.568932294845581
1700197994.1483474,15070,3.238429546356201
1700198026.1467237,15124,1.9800435304641724
1700198064.2193115,15185,1.7079286575317383
1700198175.6944995,15371,2.1814000606536865
1700198247.578944,15490,2.5877695083618164
1700198319.6993916,15610,2.0831971168518066
1700198335.990081,15638,2.4733006954193115
1700198600.6762955,16076,2.2444045543670654
1700198701.9898596,16241,2.0207462310791016
1700198744.7954445,16313,2.108829975128174
1700198792.5440633,16392,2.6686689853668213
1700198813.7667449,16427,1.9370856285095215
1700199060.0797565,16834,2.7082231044769287
1700199079.4730673,16866,1.9571607112884521
1700199087.7468164,16880,2.0294127464294434
1700199089.2183707,16883,2.373171329498291
1700199103.6011095,16907,2.0075528621673584
1700199127.6545868,16947,2.108388662338257
1700199233.7936385,17120,1.8218103647232056
1700199237.4300065,17126,1.9023268222808838
1700199238.009212,17127,2.1960813999176025
1700199319.5053635,17263,2.4041872024536133
1700199399.4075332,17394,2.037912130355835
1700199422.0424187,17431,2.0952889919281006
1700199501.0158172,17563,2.9932167530059814
1700199542.6637537,17632,1.6250725984573364
1700199582.392164,17697,2.7064735889434814
1700199603.1903121,17731,3.447370767593384
1700199771.5636444,18005,2.1040985584259033
1700199841.7524898,18121,2.045982599258423
1700199846.325364,18129,2.540311813354492
1700199848.7442558,18133,2.1909477710723877
