Wall time,Step,Value
1701796600.9190397,172,6.425596237182617
1701796615.1446187,244,6.5187883377075195
1701796618.4180894,259,6.7080888748168945
1701796645.0573316,402,6.29393196105957
1701796656.5077703,465,6.322919845581055
1701796664.7693233,510,6.2273125648498535
1701796669.6512046,538,5.994070529937744
1701796673.0002904,556,6.009557247161865
1701796680.616808,596,6.152339935302734
1701796692.2115123,658,6.207962989807129
1701796712.239341,764,5.8067522048950195
1701796719.5488195,804,5.813973903656006
1701796729.8493893,866,7.4901509284973145
1701796758.7821622,1026,5.8324079513549805
1701796760.7907765,1037,5.770801544189453
1701796776.3973253,1125,5.948946952819824
1701796777.6399384,1132,6.420319080352783
1701796783.164535,1164,6.28036642074585
1701796786.6350706,1184,5.561526775360107
1701796799.0279088,1252,6.0640997886657715
1701796802.3935883,1271,6.0290207862854
1701796828.0475411,1417,5.892079830169678
1701796835.2932768,1458,5.496464252471924
1701796841.7817907,1494,6.585052013397217
1701796844.7379627,1510,6.566814422607422
1701796851.491523,1548,6.994279861450195
1701796854.5446274,1565,6.573904037475586
1701796873.1105335,1670,5.708640098571777
1701796920.9667945,1940,5.807634353637695
1701796924.5206537,1960,5.763240814208984
1701797010.4236262,2436,6.534457206726074
1701797011.3712637,2441,5.221195697784424
1701797015.1702085,2462,5.809409141540527
1701797022.5519435,2503,4.877381801605225
1701797035.8014781,2577,4.996088027954102
1701797047.9934042,2643,6.442855358123779
1701797055.3396792,2684,5.975828170776367
1701797057.0570114,2693,5.72698450088501
1701797059.6124587,2708,5.715378761291504
1701797061.2589786,2717,5.81427526473999
1701797070.6387458,2768,5.707562446594238
1701797107.3226726,2973,5.707711696624756
1701797127.8006995,3083,5.840031623840332
1701797131.4731233,3104,5.138022422790527
1701797131.6196146,3105,5.52631950378418
1701797138.3194597,3145,5.539377689361572
1701797150.803249,3217,5.953123569488525
1701797154.9069815,3241,5.03076696395874
1701797159.2019198,3265,5.661944389343262
1701797174.2335837,3356,5.95658540725708
1701797197.77337,3500,5.670462131500244
1701797208.850241,3566,5.795487880706787
1701797214.7947986,3600,5.642962455749512
1701797217.4674623,3616,5.127433776855469
1701797223.7550623,3654,5.511320114135742
1701797226.1694777,3668,6.004920482635498
1701797226.6592736,3671,5.9368205070495605
1701797233.72404,3712,6.144586086273193
1701797245.617405,3782,5.206943511962891
1701797256.8523598,3848,5.839393615722656
1701797268.2337284,3915,5.568571090698242
1701797287.7947469,4023,5.3539018630981445
1701797302.7789845,4109,4.995669841766357
1701797304.8210459,4121,5.750919342041016
1701797315.44508,4181,4.872524738311768
1701797317.413863,4192,5.068525791168213
1701797323.7205546,4227,5.20635986328125
1701797339.6728187,4318,5.3241047859191895
1701797341.5398953,4328,5.301587104797363
1701797378.8567147,4539,6.528120517730713
1701797382.9664197,4564,6.566047191619873
1701797404.0560386,4690,5.580455303192139
1701797428.272651,4832,4.928239822387695
1701797428.952413,4836,4.933623790740967
1701797436.9430556,4882,4.77239465713501
1701797473.7347083,5090,5.363343715667725
1701797481.3359241,5132,5.4754838943481445
1701797482.1007822,5136,5.4003095626831055
1701797491.1342435,5187,4.501222133636475
1701797493.5744538,5200,5.730841159820557
1701797504.4257605,5262,5.765569686889648
1701797510.1573222,5295,6.1194167137146
1701797521.9893932,5362,5.282389163970947
1701797538.4945588,5454,5.538336753845215
1701797577.0295672,5667,4.961326599121094
1701797606.697403,5832,5.315147399902344
1701797612.85369,5866,5.3839335441589355
1701797615.1073518,5879,5.480763912200928
1701797628.773314,5956,5.191020965576172
1701797633.371026,5981,5.588654518127441
1701797635.8580987,5997,4.982942581176758
1701797646.572073,6053,5.45908260345459
1701797657.0957146,6111,4.955318450927734
1701797661.6190486,6138,4.897243499755859
1701797676.733191,6225,5.612736225128174
1701797686.3151844,6279,5.005880355834961
1701797696.0203848,6332,5.575777530670166
1701797696.3405068,6334,5.215640068054199
1701797700.6034114,6358,5.406511306762695
1701797700.761006,6359,5.433515548706055
1701797702.607185,6369,5.344295978546143
1701797738.6543608,6569,5.311546325683594
1701797741.6331904,6585,5.287707805633545
1701797742.5656376,6590,5.206992149353027
1701797744.0690455,6599,5.11722469329834
1701797767.787107,6730,5.040507793426514
1701797771.323821,6750,5.655098915100098
1701797789.3147461,6850,5.062734127044678
1701797801.8254611,6919,5.0733962059021
1701797814.933187,6991,5.121434688568115
1701797815.7264981,6996,5.2453179359436035
1701797826.4716258,7054,4.958069324493408
1701797862.3903668,7253,5.264446258544922
1701797895.7319717,7436,5.564728736877441
1701797900.8635306,7464,5.288067817687988
1701797901.618705,7468,5.126817226409912
1701797914.917774,7543,5.655665397644043
1701797925.8259246,7604,5.359026908874512
1701797933.2248406,7644,4.927284240722656
1701797948.4890642,7727,5.3387837409973145
1701797949.0678544,7730,5.317940711975098
1701797953.7905936,7756,5.282256126403809
1701797960.811157,7794,5.586781024932861
1701797965.9007225,7821,5.523548603057861
1701797995.7305033,7986,5.248315811157227
1701798021.3744261,8122,5.198159217834473
1701798051.7497187,8291,4.962276935577393
1701798098.494647,8548,6.106405735015869
1701798099.5542848,8554,5.54810094833374
1701798110.8869722,8618,4.691098213195801
1701798118.4057984,8659,5.215573310852051
1701798124.6866345,8694,4.727828025817871
1701798129.9931052,8724,5.341793060302734
1701798135.0987012,8752,5.278419494628906
1701798139.4746363,8776,5.138035297393799
1701798139.8006604,8778,4.978132724761963
1701798147.706656,8823,5.4218244552612305
1701798149.4308639,8833,5.176109313964844
1701798156.1955905,8870,5.021437644958496
1701798157.3730006,8877,5.0674004554748535
1701798191.091552,9058,4.712214946746826
1701798202.6264644,9121,5.352970123291016
